#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-10-26T21:16:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58111cd1150b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/445/423&tab:{J/A+A/445/423/table2}&tab:{J/A+A/445/423/cep}&key:source=J/A+A/445/423&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/445/423/table2,J/A+A/445/423/cep
#-order=I
#-out=Cl
#-out=RAJ2000
#-out=DEJ2000
#-out=RPer
#-out=RSig
#-out=IPer
#-out=ISig
#-out=Ramp
#-out=Iamp
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34450423
#Name: J/A+A/445/423
#Title: WeCAPP Survey. M31 variables (Fliri+, 2006)
#Table	J_A_A_445_423_table2:
#Name: J/A+A/445/423/table2
#Title: Variables in Group 1-3
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Cl	(A3)	Classification (3)	[ucd=meta.code;src.var]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RPer	(F9.4)	? Period derived from R band data	[ucd=time.period]
#Column	RSig	(F6.2)	? -log10 of significance of RP (1)	[ucd=stat.fit.goodness]
#Column	IPer	(F9.4)	? Period derived from I band data	[ucd=time.period]
#Column	ISig	(F6.2)	? -log10 of significance of IP (1)	[ucd=stat.fit.goodness]
#Column	Ramp	(F6.2)	Amplitude in broad-band R filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.R]
#Column	Iamp	(F6.2)	Amplitude in broad-band I filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.I]
_RAJ2000;_DEJ2000;Cl;RAJ2000;DEJ2000;RPer;RSig;IPer;ISig;Ramp;Iamp
010.70900;+41.26978;S  ;00 42 50.16;+41 16 11.20; 203.0800; 23.19; 200.4500; 24.70;  1.30;  3.85
010.62225;+41.26936;I  ;00 42 29.34;+41 16 09.70; 101.0400; 11.03; 100.1400;  5.22;  0.74;  1.82
010.63796;+41.26803;S  ;00 42 33.11;+41 16 04.90; 280.4000; 24.70; 280.4000; 32.99;  1.37;  4.74
010.60350;+41.26925;S  ;00 42 24.84;+41 16 09.30; 311.5500; 22.17; 311.5600; 37.23;  0.71;  2.41
010.62033;+41.26861;S  ;00 42 28.88;+41 16 07.00; 299.4600; 32.02; 299.4600; 41.78;  0.93;  3.69
010.60754;+41.26864;S  ;00 42 25.81;+41 16 07.10; 212.7100; 45.15; 212.7200; 45.50;  1.16;  3.00
010.74725;+41.26900;S  ;00 42 59.34;+41 16 08.40; 154.3400; 43.71; 154.3400; 18.41;  0.99;  2.19
010.74212;+41.26897;S  ;00 42 58.11;+41 16 08.30; 222.0700; 41.89; 222.0800; 47.04;  0.94;  3.56
010.57479;+41.26803;S  ;00 42 17.95;+41 16 04.90; 123.8700; 32.56; 123.8700; 15.50;  0.81;  2.17
010.73396;+41.26983;S  ;00 42 56.15;+41 16 11.40; 331.9200; 26.16; 331.9200; 38.56;  0.95;  5.12
010.77783;+41.26942;S  ;00 43 06.68;+41 16 09.90; 199.1500; 51.66; 197.8800; 36.79;  1.20;  2.97
010.74792;+41.27033;S  ;00 42 59.50;+41 16 13.20; 225.3100; 21.25; 232.1000; 26.31;  0.98;  2.92
010.63846;+41.26981;S  ;00 42 33.23;+41 16 11.30; 261.3900; 10.23; 261.3900; 32.29;  0.83;  2.93
010.71946;+41.26942;S  ;00 42 52.67;+41 16 09.90; 212.8800; 17.62; 217.3900; 35.40;  1.03;  3.48
010.75508;+41.26997;S  ;00 43 01.22;+41 16 11.90; 275.6100; 31.08; 283.2000; 48.91;  1.01;  3.27
010.66071;+41.26919;S  ;00 42 38.57;+41 16 09.10; 158.1700; 24.80; 158.1700; 30.39;  1.63;  4.21
010.66271;+41.26992;I  ;00 42 39.05;+41 16 11.70; 135.2800;  9.46; 136.8700;  4.58;  1.22;  2.81
010.74950;+41.26833;I  ;00 42 59.88;+41 16 06.00; 164.1900;  9.04; 156.6900;  5.27;  1.86;  4.11
010.61117;+41.26872;S  ;00 42 26.68;+41 16 07.40; 168.5400; 47.82; 166.7300; 32.25;  0.98;  2.54
010.74608;+41.26836;S  ;00 42 59.06;+41 16 06.10; 197.8700; 45.10; 192.9300; 47.48;  1.06;  3.60
010.82675;+41.26942;S  ;00 43 18.42;+41 16 09.90; 291.2100; 38.15; 293.9900; 55.68;  0.99;  3.31
010.72808;+41.26822;S  ;00 42 54.74;+41 16 05.60; 167.7600; 52.52; 166.8600; 41.31;  1.42;  3.42
010.67412;+41.26972;S  ;00 42 41.79;+41 16 11.00; 293.7500; 15.22; 298.2700; 34.79;  1.86;  5.95
010.82533;+41.27083;S  ;00 43 18.08;+41 16 15.00; 194.1400;  9.14; 194.1400; 27.98;  0.47;  2.69
010.72558;+41.26928;S  ;00 42 54.14;+41 16 09.40; 346.8300; 53.35; 339.2200; 17.01;  1.60;  2.65
010.58558;+41.26892;S  ;00 42 20.54;+41 16 08.10; 200.2800; 31.04; 198.9900; 34.82;  0.65;  2.11
010.80454;+41.27006;S  ;00 43 13.09;+41 16 12.20; 268.4200; 39.76; 266.1100; 48.76;  0.77;  3.12
010.73062;+41.27039;I  ;00 42 55.35;+41 16 13.40; 119.6400; 15.22; 119.6400; 15.22;  1.23;  2.73
010.73392;+41.26936;S  ;00 42 56.14;+41 16 09.70; 367.4800; 23.96; 367.4800; 27.84;  0.93;  4.03
010.61275;+41.26947;S  ;00 42 27.06;+41 16 10.10; 277.8700;  7.77; 263.6300; 28.12;  0.78;  2.70
010.73467;+41.27006;S  ;00 42 56.32;+41 16 12.20; 235.6300; 32.70; 237.4500; 46.41;  1.04;  4.01
010.54854;+41.26944;S  ;00 42 11.65;+41 16 10.00; 293.5100; 10.30; 290.0400; 35.36;  0.43;  1.69
010.67571;+41.26981;S  ;00 42 42.17;+41 16 11.30; 296.5700;  8.69; 292.5900; 25.59;  2.29;  5.81
010.56471;+41.26825;S  ;00 42 15.53;+41 16 05.70; 254.9100; 25.55; 261.3900; 43.79;  0.58;  2.67
010.76767;+41.27000;S  ;00 43 04.24;+41 16 12.00; 181.5800; 20.73; 181.5800; 36.96;  0.98;  3.31
010.70575;+41.26914;S  ;00 42 49.38;+41 16 08.90; 232.0900; 40.18; 239.2700; 48.19;  1.74;  5.48
010.66858;+41.26911;I  ;00 42 40.46;+41 16 08.80; 404.2000;  7.52; 404.2000; 19.79;  1.60;  4.42
010.65529;+41.26906;S  ;00 42 37.27;+41 16 08.60; 181.4300; 23.90; 182.5100; 30.30;  1.43;  4.82
010.65800;+41.26831;S  ;00 42 37.92;+41 16 05.90; 168.5400; 26.74; 168.5400;  8.28;  1.22;  3.27
010.78887;+41.26836;M  ;00 43 09.33;+41 16 06.10;         ;      ;         ;      ;  1.28;  2.81
010.71217;+41.26958;S  ;00 42 50.92;+41 16 10.50; 266.1000; 19.32; 261.6000; 42.24;  1.23;  3.83
010.54708;+41.26883;S  ;00 42 11.30;+41 16 07.80; 399.3100; 15.54; 399.3100; 28.31;  0.49;  2.71
010.84754;+41.27064;S  ;00 43 23.41;+41 16 14.30; 288.4800; 15.27; 285.8200; 38.06;  0.79;  2.69
010.64804;+41.26983;S  ;00 42 35.53;+41 16 11.40; 240.9700; 17.42; 240.9700; 32.11;  0.94;  3.39
010.79629;+41.27050;S  ;00 43 11.11;+41 16 13.80; 278.0900; 33.57; 278.1000; 54.39;  0.62;  3.15
010.60012;+41.26844;I  ;00 42 24.03;+41 16 06.40;         ;      ;         ;      ;  0.88;  2.33
010.63288;+41.26969;S  ;00 42 31.89;+41 16 10.90; 290.7400; 16.29; 290.7500; 34.17;  0.74;  2.85
010.65342;+41.26947;S  ;00 42 36.82;+41 16 10.10; 288.2600; 27.86; 311.5600; 37.14;  1.26;  5.46
010.71312;+41.26942;S  ;00 42 51.15;+41 16 09.90; 207.1700; 51.59; 204.4300; 49.40;  1.72;  4.38
010.63954;+41.26931;I  ;00 42 33.49;+41 16 09.50; 296.5800;  3.68; 296.5800; 19.12;  0.92;  3.10
010.60917;+41.26958;S  ;00 42 26.20;+41 16 10.50; 254.9100; 34.34; 254.9100; 41.70;  0.80;  2.81
010.66154;+41.26942;L  ;00 42 38.77;+41 16 09.90;         ;      ;         ;      ;  1.25;  5.60
010.70354;+41.27011;S  ;00 42 48.85;+41 16 12.40; 233.8300; 35.33; 233.8300; 31.36;  1.79;  4.76
010.66258;+41.26906;S  ;00 42 39.02;+41 16 08.60; 285.5900;  9.00; 280.4000; 21.53;  1.25;  4.95
010.67004;+41.26972;S  ;00 42 40.81;+41 16 11.00; 174.2600; 26.40; 169.3400; 19.95;  1.64;  4.95
010.62321;+41.26947;S  ;00 42 29.57;+41 16 10.10; 209.8200; 20.15; 211.2600; 27.11;  0.84;  2.36
010.81317;+41.27064;S  ;00 43 15.16;+41 16 14.30; 250.9600; 30.47; 257.2400; 49.96;  0.76;  2.90
010.61929;+41.26942;S  ;00 42 28.63;+41 16 09.90;  35.2900; 37.61;  35.1300; 12.06;  0.82;  2.14
010.62617;+41.27014;S  ;00 42 30.28;+41 16 12.50; 265.8900; 16.18; 261.3900; 28.17;  0.93;  2.64
010.58467;+41.26922;S  ;00 42 20.32;+41 16 09.20; 270.5600; 25.66; 272.9600; 41.52;  0.69;  2.52
010.66637;+41.26900;I  ;00 42 39.93;+41 16 08.40;         ;      ;         ;      ;  1.25;  3.96
010.64329;+41.26889;S  ;00 42 34.39;+41 16 08.00; 240.9700; 29.59; 240.9700; 27.46;  1.36;  5.28
010.70796;+41.26958;S  ;00 42 49.91;+41 16 10.50; 291.2100; 22.80; 283.2000; 49.20;  1.55;  5.25
010.64662;+41.26922;S  ;00 42 35.19;+41 16 09.20; 362.8700;  6.79; 338.9500; 28.41;  0.91;  3.68
010.58083;+41.26919;S  ;00 42 19.40;+41 16 09.10; 252.8200; 30.86; 252.8200; 41.09;  0.59;  2.55
010.59954;+41.26967;I  ;00 42 23.89;+41 16 10.80; 150.4600; 18.19; 149.7300; 13.85;  0.69;  2.17
010.71700;+41.27061;S  ;00 42 52.08;+41 16 14.20; 218.9200; 17.46; 217.3900; 21.06;  1.15;  3.09
010.71775;+41.27022;S  ;00 42 52.26;+41 16 12.80; 232.0900; 19.17; 235.6400; 41.06;  1.05;  4.00
010.72079;+41.26994;S  ;00 42 52.99;+41 16 11.80;  28.1100; 10.61;  28.1100; 10.61;  1.09;  2.31
010.72954;+41.27000;S  ;00 42 55.09;+41 16 12.00; 278.0900; 16.56; 278.1000; 37.84;  0.95;  3.08
010.71967;+41.26994;S  ;00 42 52.72;+41 16 11.80; 266.1000; 23.94; 263.8300; 47.84;  1.06;  3.35
010.60983;+41.26936;S  ;00 42 26.36;+41 16 09.70; 338.9400;  8.48; 338.9500; 28.72;  0.80;  3.04
010.71862;+41.26992;S  ;00 42 52.47;+41 16 11.70; 255.1100; 30.86; 250.9600; 45.85;  1.02;  3.40
010.65083;+41.27028;I  ;00 42 36.20;+41 16 13.00; 342.7100;  5.52; 342.7100; 17.47;  1.30;  2.98
010.76558;+41.26958;S  ;00 43 03.74;+41 16 10.50; 142.2500; 49.09; 140.9500; 25.40;  1.47;  3.09
010.71504;+41.26964;S  ;00 42 51.61;+41 16 10.70; 261.5900; 19.17; 257.2400; 22.56;  1.23;  4.13
010.64950;+41.26883;S  ;00 42 35.88;+41 16 07.80; 160.6400; 25.73; 160.6400; 11.78;  1.43;  3.40
010.61650;+41.26919;S  ;00 42 27.96;+41 16 09.10; 275.3900; 31.44; 272.9600; 36.23;  0.91;  3.21
010.54267;+41.26947;S  ;00 42 10.24;+41 16 10.10; 205.6200; 30.89; 204.2700; 27.70;  0.64;  1.88
010.65862;+41.26886;S  ;00 42 38.07;+41 16 07.90; 280.4000;  7.44; 282.9700; 21.97;  1.24;  3.31
010.59771;+41.26906;S  ;00 42 23.45;+41 16 08.60; 254.9100; 33.95; 259.2000; 30.85;  0.98;  3.81
010.58208;+41.26892;S  ;00 42 19.70;+41 16 08.10; 296.3300; 26.72; 296.5800; 45.93;  0.65;  3.49
010.80104;+41.27042;S  ;00 43 12.25;+41 16 13.50; 299.6900; 12.47; 299.7000; 40.80;  0.70;  2.69
010.69154;+41.26986;S  ;00 42 45.97;+41 16 11.50; 318.2000;  6.24; 291.2100; 28.74;  2.73;  8.05
010.82754;+41.27089;S  ;00 43 18.61;+41 16 15.20; 342.9800; 14.56; 331.9200; 21.15;  0.68;  1.90
010.75692;+41.27058;S  ;00 43 01.66;+41 16 14.10; 220.4800; 38.70; 225.3200; 26.32;  1.00;  3.59
010.73896;+41.27047;S  ;00 42 57.35;+41 16 13.70; 265.0200; 22.12; 273.1700; 53.63;  1.21;  4.25
010.80787;+41.26986;S  ;00 43 13.89;+41 16 11.50; 305.6200; 28.47; 299.7000; 52.06;  0.76;  3.25
010.65242;+41.26942;S  ;00 42 36.58;+41 16 09.90; 233.6600; 20.86; 242.8700; 21.78;  1.32;  3.97
010.65183;+41.26978;S  ;00 42 36.44;+41 16 11.20; 302.3900; 11.60; 299.4600; 30.47;  1.07;  3.57
010.73337;+41.27042;S  ;00 42 56.01;+41 16 13.50; 183.7400; 22.72; 184.8400; 27.70;  0.85;  3.27
010.75521;+41.26956;L  ;00 43 01.25;+41 16 10.40;         ;      ;         ;      ;  1.26;  4.42
010.74304;+41.27086;S  ;00 42 58.33;+41 16 15.10; 278.0900; 15.41; 278.1000; 29.10;  0.84;  3.35
010.78529;+41.26978;S  ;00 43 08.47;+41 16 11.20; 266.1000; 39.78; 261.6000; 51.81;  1.10;  3.54
010.74350;+41.26950;S  ;00 42 58.44;+41 16 10.20; 235.6300; 31.37; 232.1000; 35.41;  0.88;  3.20
010.70721;+41.27014;S  ;00 42 49.73;+41 16 12.50; 203.0800; 32.83; 201.7600; 28.64;  1.51;  4.29
010.75129;+41.27031;S  ;00 43 00.31;+41 16 13.10; 188.2200; 24.15; 188.2200; 37.81;  0.90;  3.28
010.75096;+41.27075;S  ;00 43 00.23;+41 16 14.70; 280.6200; 17.33; 280.6200; 22.15;  0.88;  2.63
010.73983;+41.27058;S  ;00 42 57.56;+41 16 14.10; 273.1700; 12.77; 270.7800; 42.22;  1.03;  3.37
010.63554;+41.26872;S  ;00 42 32.53;+41 16 07.40; 233.6600; 20.86; 226.8000; 25.81;  0.99;  2.76
010.58925;+41.26950;S  ;00 42 21.42;+41 16 10.20; 202.9200; 25.23; 204.2700; 31.52;  0.61;  1.80
010.59954;+41.26900;S  ;00 42 23.89;+41 16 08.40; 270.5600; 29.63; 268.2100; 42.59;  0.98;  3.30
010.65750;+41.26989;S  ;00 42 37.80;+41 16 11.60; 230.1800; 22.35; 230.1800; 23.77;  1.19;  4.40
010.84700;+41.27144;S  ;00 43 23.28;+41 16 17.20; 371.9100;  4.82; 371.9100; 31.34;  0.66;  2.66
010.71379;+41.26953;S  ;00 42 51.31;+41 16 10.30; 201.7500; 38.51; 175.3900; 26.89;  1.95;  4.75
010.76308;+41.27108;S  ;00 43 03.14;+41 16 15.90; 266.1000; 14.37; 270.7800; 40.18;  0.86;  2.85
010.54171;+41.26994;S  ;00 42 10.01;+41 16 11.80; 453.5800; 16.89; 460.3600; 25.35;  0.53;  2.94
010.73475;+41.26900;S  ;00 42 56.34;+41 16 08.40; 241.1600; 27.32; 241.1600; 31.39;  1.01;  3.48
010.71392;+41.27089;S  ;00 42 51.34;+41 16 15.20; 302.6300;  4.78; 305.6300; 30.08;  1.13;  3.76
010.74887;+41.26953;S  ;00 42 59.73;+41 16 10.30; 167.7600; 54.21; 167.7600; 37.77;  1.14;  2.80
010.67642;+41.27044;I  ;00 42 42.34;+41 16 13.60; 181.4300; 18.27; 179.6600; 12.70;  2.10;  5.03
010.75163;+41.27119;S  ;00 43 00.39;+41 16 16.30; 321.5400; 11.03; 328.3900; 47.71;  0.69;  3.19
010.72483;+41.26978;S  ;00 42 53.96;+41 16 11.20; 266.1000; 18.21; 280.6200; 42.84;  1.05;  3.31
010.72667;+41.27000;S  ;00 42 54.40;+41 16 12.00; 296.8100; 35.35; 293.9900; 52.04;  1.07;  4.39
010.70871;+41.27097;S  ;00 42 50.09;+41 16 15.50; 305.6200; 15.30; 288.4900; 34.76;  1.52;  3.73
010.81754;+41.27111;I  ;00 43 16.21;+41 16 16.00; 135.9800; 16.85; 134.8000; 13.17;  0.98;  2.28
010.69579;+41.27092;I  ;00 42 46.99;+41 16 15.30; 146.2800;  7.54; 141.6000; 13.75;  2.54;  6.11
010.61758;+41.26953;S  ;00 42 28.22;+41 16 10.30; 202.9200; 34.94; 207.0100; 35.27;  0.94;  2.56
010.66617;+41.27078;S  ;00 42 39.88;+41 16 14.80; 230.1800; 20.17; 230.1800; 20.87;  1.68;  4.24
010.51704;+41.26958;S  ;00 42 04.09;+41 16 10.50; 195.2100;  7.64; 193.9900; 30.80;  0.45;  2.10
010.64050;+41.26936;S  ;00 42 33.72;+41 16 09.70; 212.7100; 21.29; 211.2600; 31.14;  1.17;  2.91
010.66529;+41.27006;I  ;00 42 39.67;+41 16 12.20;         ;      ;         ;      ;  1.48;  4.88
010.59471;+41.26969;S  ;00 42 22.73;+41 16 10.90; 259.1900; 28.61; 254.1000; 40.66;  0.76;  2.77
010.76442;+41.27089;S  ;00 43 03.46;+41 16 15.20; 114.7500; 29.00; 114.3300; 12.04;  0.90;  2.40
010.52308;+41.26886;S  ;00 42 05.54;+41 16 07.90; 282.9700; 22.15; 282.9700; 37.64;  0.83;  3.25
010.83638;+41.27153;S  ;00 43 20.73;+41 16 17.50; 296.8100;  5.79; 296.8100; 43.92;  0.65;  2.43
010.64846;+41.26903;S  ;00 42 35.63;+41 16 08.50; 235.4500; 20.78; 242.8700; 33.82;  1.17;  4.13
010.80412;+41.27086;S  ;00 43 12.99;+41 16 15.10; 174.3900; 39.25; 174.3900; 22.49;  0.87;  3.15
010.73175;+41.27019;S  ;00 42 55.62;+41 16 12.70; 230.3600; 37.38; 220.4900; 42.21;  1.18;  3.46
010.69671;+41.27008;I  ;00 42 47.21;+41 16 12.30; 328.3600;  2.20; 328.3600; 12.85;  1.61;  4.63
010.79500;+41.27083;S  ;00 43 10.80;+41 16 15.00; 268.4200; 22.16; 270.7800; 44.71;  0.75;  3.26
010.62875;+41.27039;S  ;00 42 30.90;+41 16 13.40; 240.7700; 14.20; 242.6700; 24.71;  0.81;  2.76
010.62171;+41.27033;S  ;00 42 29.21;+41 16 13.20; 338.9400;  5.93; 335.2600; 28.41;  0.65;  2.77
010.66475;+41.26956;I  ;00 42 39.54;+41 16 10.40;         ;      ;         ;      ;  1.64;  5.39
010.61533;+41.27031;S  ;00 42 27.68;+41 16 13.10; 242.8600; 25.71; 242.8700; 36.88;  0.74;  2.76
010.69538;+41.27031;S  ;00 42 46.89;+41 16 13.10; 111.8300; 13.07; 112.6600; 12.28;  2.56;  5.31
010.71354;+41.27003;S  ;00 42 51.25;+41 16 12.10; 199.1500; 34.07; 197.8800; 32.02;  2.09;  4.28
010.73329;+41.27094;S  ;00 42 55.99;+41 16 15.40; 253.0200; 13.74; 253.0200; 30.20;  1.11;  2.80
010.66892;+41.27019;S  ;00 42 40.54;+41 16 12.70; 261.3900; 23.61; 262.5800; 27.62;  1.87;  5.46
010.77867;+41.27144;I  ;00 43 06.88;+41 16 17.20; 122.4900; 11.10; 122.4900;  0.99;  0.69;  2.14
010.57067;+41.27039;I  ;00 42 16.96;+41 16 13.40; 212.7100;  7.10; 214.2000; 12.47;  0.60;  1.75
010.64904;+41.27050;S  ;00 42 35.77;+41 16 13.80; 252.8200; 18.75; 250.7700; 32.46;  1.32;  4.19
010.55483;+41.26944;S  ;00 42 13.16;+41 16 10.00; 175.2500; 28.72; 175.2500; 30.64;  0.83;  1.91
010.55125;+41.26939;S  ;00 42 12.30;+41 16 09.80; 207.0000; 24.56; 208.4100; 31.51;  0.68;  2.08
010.71233;+41.27058;S  ;00 42 50.96;+41 16 14.10; 149.8400; 26.68; 149.8500; 14.00;  1.70;  3.58
010.82896;+41.27106;I  ;00 43 18.95;+41 16 15.80;         ;      ;         ;      ;  0.59;  1.86
010.72900;+41.26919;S  ;00 42 54.96;+41 16 09.10; 358.9300;  0.49; 385.8600; 47.17;  7.26;  3.82
010.78283;+41.27164;I  ;00 43 07.88;+41 16 17.90; 174.3900;  8.18; 170.5500; 15.80;  0.70;  2.48
010.74779;+41.27147;S  ;00 42 59.47;+41 16 17.30; 239.2900; 23.49; 243.0600; 37.87;  0.85;  3.25
010.54729;+41.27006;S  ;00 42 11.35;+41 16 12.20; 285.5900;  6.32; 288.2600; 33.53;  0.51;  1.75
010.52875;+41.26994;S  ;00 42 06.90;+41 16 11.80; 252.8200; 10.57; 248.7400; 30.73;  0.59;  1.54
010.80054;+41.27136;S  ;00 43 12.13;+41 16 16.90; 273.1700; 17.80; 275.6100; 42.90;  0.91;  3.15
010.71892;+41.27061;I  ;00 42 52.54;+41 16 14.20;         ;      ;         ;      ;  1.07;  3.42
010.64442;+41.27056;S  ;00 42 34.66;+41 16 14.00; 259.1900; 20.73; 259.2000; 37.66;  0.86;  3.37
010.57921;+41.26969;S  ;00 42 19.01;+41 16 10.90; 179.3200; 43.95; 179.3300; 34.04;  1.01;  2.20
010.57771;+41.26969;S  ;00 42 18.65;+41 16 10.90; 272.9500;  6.76; 277.8800; 27.20;  0.66;  2.12
010.79187;+41.27106;S  ;00 43 10.05;+41 16 15.80; 268.4200; 37.74; 273.1700; 56.70;  0.88;  3.29
010.71567;+41.27039;S  ;00 42 51.76;+41 16 13.40; 128.6200; 30.89; 128.6200; 20.48;  1.25;  3.65
010.50825;+41.26922;I  ;00 42 01.98;+41 16 09.20;  63.0700;  9.18;  63.0700;  2.59;  0.44;  1.50
010.61012;+41.27061;S  ;00 42 26.43;+41 16 14.20; 270.5600;  9.06; 270.5600; 27.15;  0.60;  2.11
010.66146;+41.27011;S  ;00 42 38.75;+41 16 12.40; 201.5900; 30.42; 202.9200; 34.14;  1.66;  5.76
010.65458;+41.27039;S  ;00 42 37.10;+41 16 13.40; 239.1000; 18.13; 244.8000; 24.95;  1.30;  4.21
010.55054;+41.27056;S  ;00 42 12.13;+41 16 14.00; 204.2600; 10.94; 205.6300; 39.89;  0.46;  1.69
010.63762;+41.27028;S  ;00 42 33.03;+41 16 13.00; 302.3900; 26.01; 305.3900; 47.12;  0.96;  4.00
010.75033;+41.27131;I  ;00 43 00.08;+41 16 16.70; 152.8100; 12.69; 153.5800; 13.27;  0.84;  1.82
010.74062;+41.27117;I  ;00 42 57.75;+41 16 16.20;         ;      ;         ;      ;  1.06;  3.55
010.73813;+41.27119;S  ;00 42 57.15;+41 16 16.30; 434.7700;  3.93; 434.7700; 38.10;  0.96;  3.24
010.66517;+41.27081;S  ;00 42 39.64;+41 16 14.90; 285.5900; 15.98; 284.4600; 31.93;  1.36;  4.62
010.65987;+41.27083;S  ;00 42 38.37;+41 16 15.00; 118.6300; 23.32; 118.6300;  5.12;  1.35;  2.98
010.54479;+41.27022;S  ;00 42 10.75;+41 16 12.80; 308.4400;  8.11; 331.6600; 23.65;  0.52;  2.23
010.64183;+41.27072;S  ;00 42 34.04;+41 16 14.60; 231.9100; 23.94; 233.6700; 31.56;  1.06;  2.81
010.71971;+41.27108;S  ;00 42 52.73;+41 16 15.90; 173.4100; 24.55; 174.4000; 15.02;  1.07;  2.78
010.66379;+41.27019;I  ;00 42 39.31;+41 16 12.70; 230.1800;  9.75; 221.5600; 15.79;  1.34;  4.00
010.65317;+41.26994;S  ;00 42 36.76;+41 16 11.80; 156.5700; 16.30; 155.7800; 23.13;  1.21;  3.83
010.59371;+41.27025;S  ;00 42 22.49;+41 16 12.90; 317.9700; 17.98; 331.6600; 35.87;  0.71;  3.00
010.81629;+41.27100;S  ;00 43 15.91;+41 16 15.60; 167.7600; 12.91; 165.0700; 26.98;  0.94;  2.13
010.69108;+41.27078;I  ;00 42 45.86;+41 16 14.80; 248.9100; 12.78; 246.9500; 11.58;  2.25;  6.78
010.73100;+41.27131;S  ;00 42 55.44;+41 16 16.70; 176.3900; 28.38; 177.4100; 32.61;  1.02;  2.67
010.71171;+41.27011;S  ;00 42 50.81;+41 16 12.40; 417.1300; 38.82; 406.1700; 45.50;  1.99;  7.78
010.51900;+41.26978;S  ;00 42 04.56;+41 16 11.20; 126.4100; 25.52; 124.3700; 13.36;  0.47;  1.12
010.52358;+41.26986;S  ;00 42 05.66;+41 16 11.50; 285.5900; 18.82; 280.4000; 27.82;  0.58;  1.61
010.59262;+41.26964;S  ;00 42 22.23;+41 16 10.70; 248.7400; 17.45; 246.7500; 29.06;  0.65;  2.43
010.69958;+41.27047;I  ;00 42 47.90;+41 16 13.70; 154.3300; 16.76; 154.3300; 16.17;  1.71;  4.79
010.64062;+41.27083;I  ;00 42 33.75;+41 16 15.00; 116.8300; 17.00; 115.9600;  4.19;  1.03;  2.60
010.77037;+41.27111;S  ;00 43 04.89;+41 16 16.00; 204.4200; 39.60; 207.1700; 37.42;  1.01;  2.84
010.55408;+41.27039;S  ;00 42 12.98;+41 16 13.40; 302.3900;  7.21; 299.4600; 36.34;  0.66;  2.10
010.65692;+41.27022;S  ;00 42 37.66;+41 16 12.80; 184.6900; 25.37; 188.0700; 18.04;  1.54;  3.44
010.63633;+41.26992;S  ;00 42 32.72;+41 16 11.70; 169.4700; 25.44; 169.4700; 26.86;  0.95;  2.21
010.72171;+41.27075;S  ;00 42 53.21;+41 16 14.70; 335.5200; 12.79; 335.5300; 38.53;  1.18;  3.27
010.79825;+41.27022;S  ;00 43 11.58;+41 16 12.80; 165.0700; 61.25; 165.9600; 50.10;  1.15;  2.94
010.72946;+41.27053;S  ;00 42 55.07;+41 16 13.90; 324.9200; 31.66; 328.3900; 48.07;  1.23;  5.95
010.63925;+41.27069;S  ;00 42 33.42;+41 16 14.50; 354.5200; 31.40; 367.1900; 44.89;  1.09;  4.84
010.53087;+41.27000;S  ;00 42 07.41;+41 16 12.00; 299.4500; 32.18; 293.7500; 39.13;  0.77;  2.70
010.72375;+41.27028;S  ;00 42 53.70;+41 16 13.00; 212.8800; 37.69; 211.4300; 40.83;  1.71;  4.62
010.80796;+41.27100;S  ;00 43 13.91;+41 16 15.60; 218.7400; 44.99; 217.3900; 48.33;  0.98;  2.85
010.63842;+41.27069;S  ;00 42 33.22;+41 16 14.50; 259.1900; 27.27; 261.3900; 38.62;  1.25;  4.26
010.59025;+41.27003;S  ;00 42 21.66;+41 16 12.10; 270.3400; 16.67; 275.3900; 36.52;  0.56;  2.17
010.71071;+41.27169;I  ;00 42 50.57;+41 16 18.10; 308.6800;  4.29; 308.6900; 16.61;  1.04;  3.33
010.76496;+41.27156;S  ;00 43 03.59;+41 16 17.60; 324.9200; 20.67; 308.6900; 38.23;  1.01;  2.85
