#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
095857.34+021314.5; 1.0243; 7.8e+00; 27.0; 7.08e+08; 1.49e+08;149.73895;+02.22070
095857.47+632906.8; 1.5058; 4.4e+01; 23.2; 1.27e+09; 2.68e+08;149.73949;+63.48523
095858.69+412039.0; 1.7924; 2.0e+01; 15.0; 3.45e+08; 7.28e+07;149.74457;+41.34418
095859.06+061052.9; 1.2391; 3.3e+01; 20.7; 8.77e+08; 1.85e+08;149.74610;+06.18137
095901.41+510908.3; 0.8811; 2.2e+01; 18.0; 5.28e+08; 1.11e+08;149.75592;+51.15233
095902.16-011049.1; 1.4199; 3.9e+01; 15.3; 5.13e+08; 1.08e+08;149.75902;-01.18032
095903.00+383811.2; 1.7814; 1.6e+02; 21.4; 2.01e+09; 4.24e+08;149.76250;+38.63646
095905.32+413722.6; 1.0393; 9.8e+00; 15.9; 2.74e+08; 5.76e+07;149.77218;+41.62296
095906.96+050958.9; 0.9965; 6.4e+01; 30.8; 2.64e+09; 5.55e+08;149.77901;+05.16638
095908.31+024309.6; 1.3174; 5.4e+01; 29.3; 2.22e+09; 4.67e+08;149.78466;+02.71934
095908.40+612019.8; 0.8780; 5.4e+00; 19.4; 3.23e+08; 6.81e+07;149.78501;+61.33886
095908.68+025423.9; 1.5564; 9.2e+01; 16.7; 9.21e+08; 1.94e+08;149.78620;+02.90666
095914.25+431212.5; 1.3380; 2.1e+01; 23.5; 8.53e+08; 1.80e+08;149.80939;+43.20348
095914.28+411106.7; 0.7837; 1.6e+01; 24.0; 8.00e+08; 1.69e+08;149.80952;+41.18520
095914.49+522304.1; 1.8683; 1.1e+02; 19.1; 1.37e+09; 2.88e+08;149.81041;+52.38448
095914.54+403116.9; 1.3171; 3.5e+01; 20.1; 8.34e+08; 1.76e+08;149.81058;+40.52138
095914.67+033300.7; 1.5999; 4.4e+01; 19.7; 8.52e+08; 1.79e+08;149.81116;+03.55021
095915.06+005953.6; 1.8123; 7.4e+01; 22.2; 1.43e+09; 3.01e+08;149.81276;+00.99823
095915.14+442247.6; 0.7706; 1.4e+01; 22.1; 6.41e+08; 1.35e+08;149.81309;+44.37989
095915.51+404140.3; 1.0655; 2.4e+01; 18.2; 5.65e+08; 1.19e+08;149.81465;+40.69454
095916.11+414709.8; 1.4588; 2.2e+01; 18.9; 5.85e+08; 1.23e+08;149.81713;+41.78606
095918.62+055752.0; 1.7451; 6.7e+01; 20.3; 1.17e+09; 2.46e+08;149.82759;+05.96447
095918.70+020951.4; 1.1570; 1.7e+01; 50.1; 3.64e+09; 7.67e+08;149.82793;+02.16430
095918.71+480942.9; 1.2790; 3.2e+01; 19.7; 7.58e+08; 1.60e+08;149.82797;+48.16194
095920.43+072900.8; 1.5550; 9.5e+01; 24.5; 2.04e+09; 4.29e+08;149.83516;+07.48357
095920.49+583120.8; 1.1882; 1.9e+01; 18.6; 5.33e+08; 1.12e+08;149.83542;+58.52245
095921.53+045433.8; 0.8779; 2.6e+01; 17.9; 5.68e+08; 1.20e+08;149.83975;+04.90941
095923.39+485104.8; 1.2258; 6.7e+01; 17.6; 8.84e+08; 1.86e+08;149.84747;+48.85135
095923.75+444745.5; 1.1245; 3.8e+01; 19.3; 7.92e+08; 1.67e+08;149.84900;+44.79598
095924.46+015954.3; 1.2360; 4.8e+01; 25.4; 1.58e+09; 3.33e+08;149.85195;+01.99842
095925.54+011532.6; 1.6955; 1.1e+02; 16.9; 1.03e+09; 2.17e+08;149.85645;+01.25907
095926.12+580946.0; 1.8934; 7.4e+01; 21.7; 1.40e+09; 2.95e+08;149.85885;+58.16279
095929.60+541501.1; 1.4890; 5.5e+01; 20.1; 1.05e+09; 2.21e+08;149.87335;+54.25033
095929.68+474337.7; 1.8755; 9.0e+01; 18.3; 1.11e+09; 2.33e+08;149.87369;+47.72715
095929.88+633359.8; 1.8468; 7.7e+02; 20.9; 4.26e+09; 8.97e+08;149.87453;+63.56663
095933.33+602830.5; 0.8717; 1.2e+01; 14.4; 2.58e+08; 5.43e+07;149.88891;+60.47514
095933.85+471318.3; 1.7418; 1.6e+02; 19.6; 1.71e+09; 3.60e+08;149.89107;+47.22177
095934.89+524030.9; 1.2165; 2.9e+01; 18.1; 6.18e+08; 1.30e+08;149.89542;+52.67527
095935.44+414952.7; 1.2765; 1.9e+01; 20.7; 6.57e+08; 1.39e+08;149.89767;+41.83132
095935.53+430308.9; 1.6805; 1.7e+01; 18.2; 5.12e+08; 1.08e+08;149.89808;+43.05247
095937.08+064251.9; 1.7895; 7.0e+01; 22.2; 1.44e+09; 3.03e+08;149.90453;+06.71442
095937.63+561831.5; 1.2381; 2.1e+01; 19.1; 5.90e+08; 1.24e+08;149.90683;+56.30877
095938.28-003500.8; 1.8753; 1.3e+02; 19.5; 1.42e+09; 2.98e+08;149.90952;-00.58357
095939.02+515631.7; 1.2945; 1.4e+01; 19.4; 5.02e+08; 1.06e+08;149.91259;+51.94215
095939.68+581437.8; 1.8159; 3.6e+01; 16.4; 5.73e+08; 1.21e+08;149.91534;+58.24384
095940.59+443710.9; 1.4792; 1.5e+01; 16.5; 3.82e+08; 8.05e+07;149.91916;+44.61971
095943.95+565216.3; 1.8675; 3.9e+01; 15.4; 4.80e+08; 1.01e+08;149.93313;+56.87121
095943.96+410900.7; 1.1159; 1.7e+01; 36.8; 1.90e+09; 4.00e+08;149.93320;+41.15020
095944.47+051158.3; 1.5953; 6.7e+01; 21.7; 1.34e+09; 2.82e+08;149.93533;+05.19955
095945.11+062902.8; 1.7971; 3.2e+01; 16.3; 5.71e+08; 1.20e+08;149.93798;+06.48413
095945.61+013032.1; 1.1044; 1.1e+01; 20.0; 4.59e+08; 9.66e+07;149.94004;+01.50894
095946.01+024743.5; 1.0670; 2.8e+01; 19.1; 6.82e+08; 1.44e+08;149.94174;+02.79543
095947.87+530209.2; 1.7840; 1.4e+02; 16.7; 1.16e+09; 2.44e+08;149.94948;+53.03590
095949.40+020140.9; 1.7533; 6.2e+01; 17.1; 8.05e+08; 1.69e+08;149.95584;+02.02805
095949.64+382800.6; 1.4311; 6.3e+01; 16.8; 7.91e+08; 1.67e+08;149.95684;+38.46684
095949.71+422545.5; 1.5497; 1.7e+01; 16.2; 3.69e+08; 7.78e+07;149.95713;+42.42931
095950.95+565446.5; 1.7561; 6.5e+01; 15.5; 6.62e+08; 1.39e+08;149.96229;+56.91292
095956.73+413156.5; 1.9165; 3.7e+01; 14.8; 4.67e+08; 9.83e+07;149.98638;+41.53238
095957.97+014327.3; 1.6181; 2.6e+01; 19.1; 6.39e+08; 1.35e+08;149.99157;+01.72427
095959.43+414516.2; 1.8166; 2.2e+01; 20.9; 7.26e+08; 1.53e+08;149.99764;+41.75452
100000.02+592454.5; 1.7310; 1.9e+01; 19.5; 6.07e+08; 1.28e+08;150.00012;+59.41515
100000.85+514416.6; 1.2352; 4.3e+01; 18.5; 7.81e+08; 1.64e+08;150.00358;+51.73794
100001.13+610249.5; 1.2624; 1.2e+02; 24.5; 2.28e+09; 4.80e+08;150.00473;+61.04711
100002.40+635251.3; 1.4841; 9.0e+01; 16.4; 8.95e+08; 1.89e+08;150.01000;+63.88092
100002.68+500032.0; 1.9653; 2.0e+02; 24.3; 2.91e+09; 6.13e+08;150.01120;+50.00891
100005.62+414237.9; 0.8811; 1.4e+01; 22.2; 6.69e+08; 1.41e+08;150.02346;+41.71053
100005.82+624823.2; 1.6965; 3.1e+01; 15.6; 4.78e+08; 1.01e+08;150.02428;+62.80647
100007.49+563950.0; 1.2189; 7.3e+00; 20.7; 4.02e+08; 8.47e+07;150.03123;+56.66390
100008.14+013306.5; 1.1706; 8.0e+00; 21.0; 4.51e+08; 9.49e+07;150.03394;+01.55181
100009.82+620933.5; 0.8912; 7.4e+00; 13.8; 1.70e+08; 3.59e+07;150.04092;+62.15932
100012.75+482956.1; 0.7822; 1.7e+01; 22.1; 7.04e+08; 1.48e+08;150.05316;+48.49892
100013.37+011203.1; 1.8044; 1.2e+02; 18.7; 1.35e+09; 2.85e+08;150.05571;+01.20088
100013.54+013738.8; 1.6156; 2.0e+01; 16.3; 4.32e+08; 9.09e+07;150.05646;+01.62746
100013.59+565153.2; 1.0569; 7.9e+00; 17.8; 3.15e+08; 6.63e+07;150.05664;+56.86479
100014.15+603404.0; 1.4369; 2.1e+01; 15.8; 4.02e+08; 8.48e+07;150.05896;+60.56780
100015.51+443848.0; 1.8623; 6.7e+01; 19.6; 1.16e+09; 2.44e+08;150.06464;+44.64667
100015.99+490712.1; 1.8052; 5.0e+01; 17.3; 8.65e+08; 1.82e+08;150.06664;+49.12003
100017.67+000523.6; 0.9054; 1.8e+01; 19.7; 5.42e+08; 1.14e+08;150.07366;+00.08991
100020.35+524412.6; 1.7101; 2.0e+01; 20.8; 7.30e+08; 1.54e+08;150.08482;+52.73684
100021.32+534605.8; 1.6262; 6.3e+01; 18.2; 9.08e+08; 1.91e+08;150.08885;+53.76829
100021.83-010031.9; 1.6591; 6.3e+01; 16.7; 7.70e+08; 1.62e+08;150.09096;-01.00888
100022.13+610312.2; 1.5487; 1.5e+01; 25.4; 9.13e+08; 1.92e+08;150.09222;+61.05340
100024.39+015053.9; 1.6637; 4.4e+01; 15.7; 5.70e+08; 1.20e+08;150.10163;+01.84833
100024.64+023149.0; 1.3177; 4.4e+01; 18.6; 8.20e+08; 1.73e+08;150.10269;+02.53029
100025.14+613738.4; 1.1202; 1.4e+01; 15.2; 3.11e+08; 6.55e+07;150.10479;+61.62735
100027.60+034617.5; 1.9633; 7.0e+01; 20.0; 1.18e+09; 2.48e+08;150.11502;+03.77155
100027.86+531834.6; 1.1453; 4.0e+01; 19.4; 8.21e+08; 1.73e+08;150.11612;+53.30962
100027.90+503753.4; 1.9041; 4.7e+01; 30.7; 2.46e+09; 5.19e+08;150.11628;+50.63151
100028.03+043525.7; 1.7377; 5.9e+01; 21.3; 1.28e+09; 2.69e+08;150.11683;+04.59048
100029.15+010144.9; 1.0588; 4.7e+01; 12.2; 3.53e+08; 7.45e+07;150.12148;+01.02914
100029.50+053822.0; 1.4219; 7.9e+01; 18.6; 1.08e+09; 2.28e+08;150.12295;+05.63945
100029.98+430145.2; 1.7286; 4.6e+01; 17.5; 7.13e+08; 1.50e+08;150.12494;+43.02924
100031.24+600343.3; 1.2350; 1.8e+01; 24.6; 8.19e+08; 1.73e+08;150.13018;+60.06203
100032.75+443323.8; 1.1161; 2.9e+01; 24.6; 1.14e+09; 2.41e+08;150.13648;+44.55664
100033.69+452942.6; 1.2409; 6.5e+01; 22.5; 1.41e+09; 2.97e+08;150.14039;+45.49519
100033.75+040844.2; 0.8794; 3.3e+01; 16.5; 5.50e+08; 1.16e+08;150.14064;+04.14562
100034.17+540628.6; 1.2124; 4.0e+01; 19.3; 8.31e+08; 1.75e+08;150.14241;+54.10795
100034.91+452158.5; 1.5075; 1.9e+01; 30.8; 1.48e+09; 3.12e+08;150.14549;+45.36626
100038.39+493301.0; 1.2287; 2.9e+01; 19.3; 7.08e+08; 1.49e+08;150.15999;+49.55028
100039.40+584159.2; 1.6030; 2.4e+01; 23.2; 9.07e+08; 1.91e+08;150.16417;+58.69979
100040.24+423001.4; 1.3882; 4.2e+01; 16.7; 6.33e+08; 1.33e+08;150.16768;+42.50039
100040.58+561701.6; 1.4113; 2.3e+01; 16.0; 4.40e+08; 9.26e+07;150.16910;+56.28378
100041.38+405809.7; 1.4225; 5.7e+01; 18.1; 8.62e+08; 1.82e+08;150.17244;+40.96938
100042.12+034911.5; 1.6495; 2.1e+01; 19.5; 6.63e+08; 1.40e+08;150.17553;+03.81987
100042.76+494912.2; 1.4384; 7.4e+01; 16.7; 8.38e+08; 1.77e+08;150.17818;+49.82007
100045.10+045147.7; 1.3374; 4.7e+01; 19.6; 9.21e+08; 1.94e+08;150.18796;+04.86328
100046.44+033708.8; 1.6996; 2.8e+01; 18.8; 6.61e+08; 1.39e+08;150.19353;+03.61912
100048.71+591647.9; 1.0108; 3.3e+01; 18.4; 6.86e+08; 1.45e+08;150.20296;+59.27999
100050.07+032551.6; 1.0102; 4.1e+01; 15.0; 5.08e+08; 1.07e+08;150.20866;+03.43102
100052.82+513928.6; 1.3497; 5.8e+01; 25.0; 1.66e+09; 3.50e+08;150.22011;+51.65797
100052.88+640947.9; 1.1096; 2.2e+01; 18.9; 5.89e+08; 1.24e+08;150.22035;+64.16333
100053.73+565909.7; 1.7129; 2.4e+01; 22.3; 7.98e+08; 1.68e+08;150.22390;+56.98605
100053.90+551608.9; 1.5922; 1.0e+02; 17.8; 1.12e+09; 2.36e+08;150.22462;+55.26914
100054.67+533205.9; 1.3468; 1.0e+02; 23.3; 1.94e+09; 4.08e+08;150.22782;+53.53500
100055.39+023441.3; 1.4031; 1.9e+01; 20.9; 6.65e+08; 1.40e+08;150.23081;+02.57815
100055.58+415513.8; 1.3393; 6.1e+01; 20.3; 1.13e+09; 2.37e+08;150.23161;+41.92053
100055.86+524948.5; 1.7972; 7.8e+01; 19.9; 1.18e+09; 2.48e+08;150.23275;+52.83015
100056.08+603425.4; 1.9361; 4.0e+01; 19.4; 7.96e+08; 1.68e+08;150.23370;+60.57373
100058.84+015400.2; 1.5591; 2.2e+01; 19.8; 6.70e+08; 1.41e+08;150.24518;+01.90007
100058.88+551915.8; 1.5189; 5.5e+01; 20.4; 1.08e+09; 2.27e+08;150.24537;+55.32108
100103.03+450503.9; 1.5948; 1.7e+01; 19.8; 6.14e+08; 1.29e+08;150.26267;+45.08442
100104.32+553521.6; 1.5367; 8.3e+01; 20.2; 1.28e+09; 2.71e+08;150.26801;+55.58936
100104.86+011421.2; 1.0210; 9.8e+00; 13.1; 1.91e+08; 4.02e+07;150.27027;+01.23925
100106.02+594013.0; 0.9728; 3.5e+01; 18.0; 6.64e+08; 1.40e+08;150.27509;+59.67029
100107.67+012439.2; 1.6332; 1.5e+01; 24.6; 8.33e+08; 1.75e+08;150.28197;+01.41089
100109.33+082924.9; 1.6783; 5.7e+01; 19.7; 1.02e+09; 2.16e+08;150.28890;+08.49026
100109.97+424349.6; 1.8924; 3.1e+01; 21.4; 9.22e+08; 1.94e+08;150.29155;+42.73045
100110.26+033707.9; 1.6767; 1.8e+01; 17.9; 5.01e+08; 1.06e+08;150.29277;+03.61888
100110.58+575318.6; 1.6819; 2.3e+01; 15.5; 3.82e+08; 8.05e+07;150.29409;+57.88852
100111.96+633225.1; 1.9124; 9.1e+01; 20.0; 1.36e+09; 2.87e+08;150.29984;+63.54032
100114.27+610933.5; 0.9505; 2.7e+01; 23.6; 1.03e+09; 2.16e+08;150.30948;+61.15933
100114.29+022356.8; 1.7988; 6.1e+01; 18.2; 8.76e+08; 1.85e+08;150.30957;+02.39912
100115.51+425912.7; 1.1714; 1.4e+01; 19.4; 5.01e+08; 1.05e+08;150.31463;+42.98688
100117.01+642009.4; 1.9498; 5.8e+01; 17.0; 7.54e+08; 1.59e+08;150.32090;+64.33597
100118.06+424024.9; 1.8789; 4.9e+01; 22.0; 1.10e+09; 2.31e+08;150.32525;+42.67360
100119.69+010501.7; 1.1048; 3.6e+01; 17.1; 6.11e+08; 1.29e+08;150.33207;+01.08383
100119.97+480007.5; 1.2484; 5.1e+01; 17.4; 7.68e+08; 1.62e+08;150.33322;+48.00210
100120.26+023341.3; 1.8344; 2.7e+01; 18.2; 6.26e+08; 1.32e+08;150.33443;+02.56147
100120.84+555349.5; 1.4131; 4.2e+02;  9.4; 6.20e+08; 1.31e+08;150.33684;+55.89710
100120.94+435940.1; 1.7913; 1.9e+01; 14.0; 2.91e+08; 6.13e+07;150.33728;+43.99449
100123.22+413630.5; 1.8639; 2.4e+01; 22.1; 9.53e+08; 2.01e+08;150.34678;+41.60848
100124.54+041130.8; 1.1887; 6.7e+00; 26.1; 6.18e+08; 1.30e+08;150.35228;+04.19191
100124.86+045635.6; 1.7350; 2.1e+01; 18.8; 5.93e+08; 1.25e+08;150.35359;+04.94323
100125.31+481517.5; 1.9240; 2.6e+01; 23.6; 8.84e+08; 1.86e+08;150.35546;+48.25487
100125.32+524100.4; 1.6477; 8.1e+01; 17.6; 9.75e+08; 2.05e+08;150.35554;+52.68346
100125.47+005205.5; 0.7805; 7.2e+00; 18.0; 3.18e+08; 6.70e+07;150.35613;+00.86820
100126.06+054813.3; 1.5194; 1.8e+02; 21.1; 2.08e+09; 4.39e+08;150.35862;+05.80371
100128.61+502756.8; 1.8392; 3.0e+02; 20.4; 2.56e+09; 5.40e+08;150.36921;+50.46580
100129.19+011715.8; 1.6078; 7.4e+01; 17.1; 8.75e+08; 1.84e+08;150.37163;+01.28774
100129.64+545438.0; 1.7567; 1.5e+03; 16.7; 3.77e+09; 7.94e+08;150.37352;+54.91057
100130.37+014304.3; 1.5705; 1.8e+01; 24.0; 9.06e+08; 1.91e+08;150.37654;+01.71786
100131.43+080023.9; 1.8155; 1.5e+02; 14.8; 8.99e+08; 1.89e+08;150.38099;+08.00664
100131.95+053322.7; 1.9470; 1.0e+02; 20.5; 1.50e+09; 3.17e+08;150.38316;+05.55633
100132.16+013420.8; 1.3605; 1.8e+01; 16.1; 3.78e+08; 7.96e+07;150.38403;+01.57245
100132.37+010112.5; 1.4078; 2.2e+01; 21.4; 7.91e+08; 1.67e+08;150.38489;+01.02014
100132.92+555906.9; 1.6845; 7.2e+01; 16.3; 8.11e+08; 1.71e+08;150.38718;+55.98527
100133.24+062100.3; 1.2572; 2.5e+01; 21.0; 7.65e+08; 1.61e+08;150.38852;+06.35010
100133.73+421357.9; 1.3769; 4.6e+01; 19.8; 9.17e+08; 1.93e+08;150.39055;+42.23276
100133.86+570839.1; 1.3625; 2.4e+02; 19.0; 1.94e+09; 4.08e+08;150.39112;+57.14422
100135.49+034901.4; 1.8441; 3.5e+01; 19.9; 7.91e+08; 1.67e+08;150.39790;+03.81707
100135.70+533009.6; 0.8767; 2.0e+01; 19.8; 6.20e+08; 1.31e+08;150.39878;+53.50267
100140.56+412532.3; 0.7736; 6.7e+00; 14.5; 1.85e+08; 3.90e+07;150.41904;+41.42565
100140.92+514447.1; 1.6574; 9.3e+01; 20.4; 1.40e+09; 2.95e+08;150.42052;+51.74643
100142.10+454617.1; 1.8969; 3.8e+01; 16.5; 5.63e+08; 1.19e+08;150.42545;+45.77143
100142.12-002509.6; 1.3065; 4.2e+01; 16.6; 6.39e+08; 1.35e+08;150.42554;-00.41934
100142.36+584511.5; 1.5802; 2.4e+01; 22.0; 8.15e+08; 1.72e+08;150.42654;+58.75320
100142.48+451631.5; 0.8895; 4.7e+00; 20.0; 2.99e+08; 6.29e+07;150.42703;+45.27544
100142.66+040510.0; 1.7448; 4.5e+01; 17.5; 7.29e+08; 1.54e+08;150.42777;+04.08614
100143.27-003610.5; 1.4727; 5.0e+01; 15.2; 5.68e+08; 1.20e+08;150.43032;-00.60292
100143.68+600822.7; 1.2414; 1.9e+01; 18.3; 5.23e+08; 1.10e+08;150.43201;+60.13965
100144.32+494929.2; 1.8166; 8.6e+01; 25.3; 2.03e+09; 4.28e+08;150.43469;+49.82479
100145.01+511611.7; 1.9413; 2.5e+01; 25.3; 1.31e+09; 2.76e+08;150.43755;+51.26994
100145.15+594008.5; 1.1856; 7.7e+01; 19.5; 1.17e+09; 2.46e+08;150.43816;+59.66905
100145.23+411556.0; 1.0395; 5.3e+01; 17.5; 7.84e+08; 1.65e+08;150.43847;+41.26557
100145.31+563715.3; 0.8770; 7.0e+00; 18.2; 3.14e+08; 6.61e+07;150.43883;+56.62093
100153.77+065122.7; 1.7371; 1.7e+02; 20.0; 1.83e+09; 3.85e+08;150.47408;+06.85631
100154.02+582305.9; 0.8367; 2.2e+01; 17.0; 4.78e+08; 1.01e+08;150.47510;+58.38500
100154.30+075453.0; 1.4001; 4.7e+01; 22.7; 1.23e+09; 2.59e+08;150.47628;+07.91474
100154.41+571931.8; 1.2339; 1.5e+01; 17.9; 4.32e+08; 9.11e+07;150.47674;+57.32551
100154.56+004525.9; 1.3553; 8.8e+01; 16.9; 9.47e+08; 1.99e+08;150.47734;+00.75720
100155.61+595214.8; 1.6313; 3.5e+01; 20.7; 9.07e+08; 1.91e+08;150.48173;+59.87079
100156.12+615032.6; 1.7878; 8.3e+01; 18.1; 1.05e+09; 2.22e+08;150.48385;+61.84241
100156.41+555440.1; 1.1523; 5.5e+01; 19.3; 9.72e+08; 2.05e+08;150.48507;+55.91116
100201.69+452132.9; 1.6135; 5.1e+01; 21.5; 1.16e+09; 2.45e+08;150.50704;+45.35916
100202.47+083847.2; 1.6126; 7.8e+01; 23.4; 1.66e+09; 3.50e+08;150.51029;+08.64646
100202.77+022434.6; 0.9877; 1.0e+01; 22.2; 5.41e+08; 1.14e+08;150.51157;+02.40962
100203.89+605305.2; 0.9182; 6.0e+00; 22.5; 4.60e+08; 9.70e+07;150.51623;+60.88480
100204.23+451509.9; 1.0270; 1.5e+01; 15.7; 3.37e+08; 7.10e+07;150.51765;+45.25276
100205.36+554257.9; 1.1511; 8.0e+01; 24.3; 1.84e+09; 3.87e+08;150.52235;+55.71609
100206.22+073507.7; 1.8354; 4.1e+01; 20.6; 9.77e+08; 2.06e+08;150.52594;+07.58550
100206.26+503339.9; 1.5691; 1.3e+02; 16.9; 1.14e+09; 2.40e+08;150.52610;+50.56110
100206.54+565336.8; 1.2713; 1.6e+01; 18.9; 5.14e+08; 1.08e+08;150.52726;+56.89356
100206.77+472418.1; 0.8887; 3.4e+01; 15.6; 4.93e+08; 1.04e+08;150.52821;+47.40504
100207.28+041605.3; 1.8743; 2.0e+02; 22.7; 2.55e+09; 5.38e+08;150.53035;+04.26815
100209.04+462923.1; 1.7007; 5.8e+01; 22.1; 1.32e+09; 2.77e+08;150.53771;+46.48977
100210.16+605026.4; 1.1491; 8.2e+00; 16.9; 2.82e+08; 5.94e+07;150.54235;+60.84068
100210.41+053249.9; 1.5945; 4.0e+01; 14.9; 5.19e+08; 1.09e+08;150.54341;+05.54722
100210.43+594508.5; 1.9247; 3.2e+01; 13.5; 3.40e+08; 7.17e+07;150.54348;+59.75237
100210.72+023026.1; 1.1607; 2.0e+01; 19.4; 5.88e+08; 1.24e+08;150.54467;+02.50728
100211.16+012228.3; 1.8159; 4.0e+01; 20.7; 1.02e+09; 2.14e+08;150.54651;+01.37454
100212.39+043625.1; 1.0508; 4.2e+01; 21.0; 1.00e+09; 2.11e+08;150.55165;+04.60698
100212.63+520800.2; 1.6118; 1.7e+02; 15.5; 1.08e+09; 2.27e+08;150.55265;+52.13341
100213.01+433816.1; 1.5364; 1.8e+01; 23.1; 8.02e+08; 1.69e+08;150.55421;+43.63782
100217.07+594326.0; 1.5365; 2.2e+01; 23.9; 9.73e+08; 2.05e+08;150.57113;+59.72391
100219.49+015537.0; 1.5091; 2.1e+01; 23.2; 9.06e+08; 1.91e+08;150.58121;+01.92695
100221.70+454806.0; 1.1516; 3.1e+01; 18.6; 6.69e+08; 1.41e+08;150.59045;+45.80167
100222.58+450259.8; 1.3952; 4.9e+01; 20.8; 1.06e+09; 2.24e+08;150.59409;+45.04997
100226.33+021923.1; 1.2945; 1.6e+01; 21.3; 6.38e+08; 1.34e+08;150.60971;+02.32309
100226.98+033039.7; 0.9080; 1.3e+01; 17.5; 4.06e+08; 8.55e+07;150.61242;+03.51105
100229.37+452005.9; 1.6329; 8.8e+01; 18.2; 1.07e+09; 2.26e+08;150.62238;+45.33500
100230.82+482617.1; 0.8002; 1.4e+01; 15.3; 3.20e+08; 6.75e+07;150.62845;+48.43809
100231.96+045636.2; 0.8748; 9.4e+00; 27.4; 8.28e+08; 1.75e+08;150.63318;+04.94342
100231.98+473828.2; 1.7364; 9.1e+01; 15.7; 8.21e+08; 1.73e+08;150.63329;+47.64118
100233.91+040842.6; 1.5953; 9.2e+01; 17.7; 1.06e+09; 2.22e+08;150.64131;+04.14519
100234.32+015011.1; 1.5057; 5.6e+01; 17.2; 7.66e+08; 1.61e+08;150.64303;+01.83644
100236.70+015948.6; 1.5157; 2.4e+01; 15.8; 3.95e+08; 8.33e+07;150.65294;+01.99685
100237.64+470955.3; 0.9354; 8.0e+00; 21.8; 4.55e+08; 9.59e+07;150.65686;+47.16538
100239.09+044022.7; 1.8934; 2.4e+01; 21.2; 8.11e+08; 1.71e+08;150.66288;+04.67298
100239.40+045125.3; 1.5026; 1.5e+01; 13.2; 2.25e+08; 4.75e+07;150.66419;+04.85703
100241.56+035200.9; 1.4298; 4.3e+01; 18.6; 8.10e+08; 1.71e+08;150.67318;+03.86693
100242.33+044201.5; 1.0094; 4.7e+01; 20.1; 9.54e+08; 2.01e+08;150.67639;+04.70043
100243.92+474520.8; 1.7415; 1.7e+01; 14.9; 3.26e+08; 6.87e+07;150.68300;+47.75580
100244.55+524643.6; 1.4677; 5.2e+01; 20.2; 1.02e+09; 2.15e+08;150.68565;+52.77878
100245.35+033525.5; 1.6469; 4.2e+01; 18.5; 7.85e+08; 1.65e+08;150.68899;+03.59043
100246.24+035306.9; 0.9930; 9.0e+00;  2.9; 8.61e+06; 1.81e+06;150.69270;+03.88527
100247.17+595323.6; 1.6323; 4.8e+01; 16.5; 6.53e+08; 1.38e+08;150.69657;+59.88991
100247.30+451648.5; 1.6295; 4.8e+01; 20.0; 9.74e+08; 2.05e+08;150.69710;+45.28017
100248.15+033155.9; 1.4811; 1.7e+02; 16.0; 1.17e+09; 2.46e+08;150.70065;+03.53221
100248.44+612820.7; 1.1905; 7.9e+00; 29.2; 8.18e+08; 1.72e+08;150.70186;+61.47242
100249.92-002453.4; 0.7954; 6.3e+01; 17.1; 8.07e+08; 1.70e+08;150.70804;-00.41485
100250.44+004919.5; 1.8764; 4.6e+01; 19.4; 8.50e+08; 1.79e+08;150.71019;+00.82211
